GEOID,state_sovi_rank,fema_region_sovi_rank,us_sovi_rank
g17139,,38.0,52.0
g17141,,69.0,76.0
g17143,,34.0,53.0
g17145,,91.0,78.0
g17147,,92.0,89.0
g17149,,26.0,14.0
g17151,,12.0,2.0
g17153,,2.0,3.0
g17155,,89.0,86.0
g17157,,93.0,83.0
g17159,,40.0,49.0
g17161,,7.0,22.0
g17163,,30.0,40.0
g17165,,11.0,12.0
g17167,,60.0,66.0
g17169,,76.0,77.0
g17171,,53.0,56.0
g17173,,62.0,61.0
g17175,,48.0,46.0
g17177,,8.0,7.0
g17179,,86.0,81.0
g17181,,24.0,17.0
g17183,,10.0,15.0
g17185,,44.0,44.0
g17187,,5.0,4.0
g17189,,81.0,82.0
g17191,,28.0,63.0
g17193,,3.0,5.0
g17195,,18.0,31.0
g17197,,90.0,97.0
g17199,,39.0,27.0
g17201,,9.0,35.0
g17203,,96.0,91.0
g23001,,21.0,19.0
g23003,,3.0,5.0
g23005,,36.0,30.0
g23007,,15.0,8.0
g23009,,26.0,15.0
g23011,,14.0,18.0
g23013,,23.0,13.0
g23015,,13.0,17.0
g23017,,12.0,11.0
g23019,,19.0,20.0
g23021,,4.0,6.0
g23023,,33.0,26.0
g23025,,9.0,14.0
g23027,,25.0,16.0
g23029,,1.0,3.0
g23031,,35.0,25.0
g25001,,11.0,9.0
g25003,,6.0,4.0
g25005,,5.0,12.0
g25007,,31.0,27.0
g25009,,8.0,21.0
g25011,,24.0,22.0
g25013,,2.0,2.0
g25015,,29.0,28.0
g25017,,27.0,37.0
g25019,,40.0,40.0
g25021,,17.0,38.0
g25023,,20.0,34.0
g25025,,7.0,1.0
g25027,,16.0,29.0
g29001,,36.0,63.0
g29003,,100.0,94.0
g29005,,93.0,66.0
g29007,,13.0,29.0
g29009,,68.0,69.0
g29011,,70.0,74.0
g29013,,69.0,67.0
g29015,,79.0,18.0
g29017,,85.0,89.0
g29019,,101.0,108.0
g29021,,38.0,59.0
g29023,,6.0,19.0
g29025,,82.0,80.0
g29027,,105.0,106.0
g29029,,98.0,23.0
g29031,,54.0,75.0
g29033,,78.0,71.0
g29035,,8.0,7.0
g29037,,108.0,104.0
g29039,,56.0,26.0
g29041,,27.0,21.0
g29043,,110.0,105.0
g29045,,81.0,82.0
g29047,,102.0,107.0
g29049,,90.0,84.0
g29051,,87.0,99.0
g29053,,88.0,85.0
g29055,,41.0,54.0
g29057,,46.0,50.0
g29059,,64.0,88.0
g29061,,92.0,72.0
g29063,,115.0,114.0
g29065,,31.0,45.0
g29067,,71.0,62.0
g29069,,3.0,3.0
g29071,,96.0,101.0
g29073,,59.0,48.0
g29075,,18.0,15.0
g29077,,63.0,73.0
g29079,,21.0,17.0
g29081,,67.0,43.0
g29083,,53.0,37.0
g29085,,55.0,2.0
g29087,,60.0,25.0
g29089,,51.0,61.0
g29091,,29.0,51.0
g29093,,14.0,10.0
g29095,,20.0,64.0
g29097,,19.0,56.0
g29099,,106.0,109.0
g29101,,103.0,100.0
g29103,,48.0,42.0
g29105,,52.0,81.0
g29107,,83.0,87.0
g29109,,37.0,52.0
g29111,,57.0,49.0
g29113,,104.0,110.0
g29115,,32.0,33.0
g29117,,7.0,11.0
